1851-1861,"3,230",793,"1,281",670,352,170,
1861-1871,"3,689",459,"1,370",760,260,410,
1871-1881,"4,325",636,"1,480",790,350,404,
1881-1891,"4,833",508,"1,524",870,680,826,
1891-1901,"5,371",538,"1,548",880,250,380,
1901-1911,"7,207","1,836","1,925",900,"1,550",740,
1911-1921,"8,788","1,581","2,340","1,070","1,400","1,089",
1921-1931,"10,377","1,589","2,415","1,055","1,200",970,
1931-1941,"11,507","1,130","2,294","1,072",149,241,
1941-1951,"13,648","2,141","3,186","1,214",548,379,
1951-1956,"16,081","2,433","2,106",633,783,185,
1956-1961,"18,238","2,157","2,362",687,760,278,
1961-1966,"20,015","1,777","2,249",731,539,280,
1966-1971,"21,568","1,553","1,856",766,890,427,
1971-1976,"23,450","1,488","1,760",824,"1,053",358,
1976-1981,"24,820","1,371","1,820",843,771,278,
1981-1986,"26,101","1,281","1,872",885,678,278,
1986-1991,"28,031","1,930","1,933",946,"1,164",213,
1991-1996,"29,611","1,580","1,936","1,024","1,118",338,
1996-2001,"31,021","1,410","1,705","1,089","1,217",376,
